id,name,blurb, goal ,pledged,outcomes,country,currency,deadline,launched_at,staff_pick,backers_count,spotlight,Category and Subcategory,Percentage Funded,Average Donation,Parent Category,Subcategory,Date Created Conversion,Date Ended Conversion,Years
3150,Sustainable Theatre Project and The Life-Cycle of Seller Door: A Play of Consequences,"SELLER DOOR is a new comedy about a Barker, the people he gets to go through a door and what happens to those people after they go through the door.","$3,500.00 ","$3,535.00 ",successful,US,USD,1295928000,1288160403,TRUE,104,TRUE,theater/plays,101,33.99,theater,plays,10/27/2010,1/25/2011,2010
3671,Kylie for President,Bring a touring character education play about making wise choices to elementary students in Kentuckiana. Vote Kylie for President!,"$3,500.00 ","$3,530.00 ",successful,US,USD,1405915140,1404140667,FALSE,40,TRUE,theater/plays,101,88.25,theater,plays,6/30/2014,7/21/2014,2014
3382,Cosmic Fear or The Day Brad Pitt Got Paranoia - EdFringe '16,Peter Brook Award Nominees Empty Deck need £3500 to get 'Cosmic Fear or The Day Brad Pitt Got Paranoia' to the Edinburgh Fringe!,"$3,500.00 ","$3,526.00 ",successful,GB,GBP,1470092340,1467973256,FALSE,46,TRUE,theater/plays,101,76.65,theater,plays,7/8/2016,8/1/2016,2016
3151,"""The Holiday Bug"" 2014 Puppet Show","A Multi-Media Puppet Show, with large cable control puppets to tell a hilarious story for all ages.","$3,500.00 ","$3,514.00 ",successful,US,USD,1410379774,1407787774,TRUE,34,TRUE,theater/plays,100,103.35,theater,plays,8/11/2014,9/10/2014,2014
530,Corners Grove,"Corners Grove is a coming-of-age play about leaving home, gender identity and the death of Whitney Houston; will benefit Win NYC.","$3,405.00 ","$3,670.00 ",successful,US,USD,1435111200,1433254268,FALSE,29,TRUE,theater/plays,108,126.55,theater,plays,6/2/2015,6/24/2015,2015
3585,The Lost Boy (a play),"The world premiere of a play, a true story about love, loss, and a man reaching back in time as the only way to move forward.","$3,400.00 ","$4,050.00 ",successful,US,USD,1419181890,1416589890,FALSE,23,TRUE,theater/plays,119,176.09,theater,plays,11/21/2014,12/21/2014,2014
3483,The Faculty Lounge,Join 5 high school teachers in the lounge of every high school in America.  Hear what they never say in the classroom.,"$3,350.00 ","$5,358.00 ",successful,US,USD,1404403381,1401811381,FALSE,133,TRUE,theater/plays,160,40.29,theater,plays,6/3/2014,7/3/2014,2014
3341,Today I Live,"A London flat, two stories play simultaneously. Irish mapmaker 1821, Iranian artist present day. Each senses the other. Worlds collide.","$3,350.00 ","$3,350.00 ",successful,GB,GBP,1465750800,1463771421,FALSE,28,TRUE,theater/plays,100,119.64,theater,plays,5/20/2016,6/12/2016,2016
536,Much Further Out Than You Thought @ Edinburgh Fringe 2015,"A new one-man play by Giles Roberts, shining a different light on the very human cost of war *IDEASTAP UNDERBELLY AWARD WINNER 2015*","$3,300.00 ","$3,902.50 ",successful,GB,GBP,1438624800,1435133807,FALSE,39,TRUE,theater/plays,118,100.06,theater,plays,6/24/2015,8/3/2015,2015
3720,Lakotas and the American Theatre,Breaking the American Indian stereotype in the American Theatre.,"$3,300.00 ","$3,449.00 ",successful,US,USD,1435881006,1433980206,FALSE,40,TRUE,theater/plays,105,86.23,theater,plays,6/10/2015,7/2/2015,2015
3526,"Human, Kind Theater Project","By day we perform Acts of Kindness, by night we perform free theater, all sustained by the love of our neighbors, not ticket prices.","$3,300.00 ","$3,366.00 ",successful,US,USD,1461823140,1459411371,FALSE,34,TRUE,theater/plays,102,99,theater,plays,3/31/2016,4/28/2016,2016
3322,Familiar Strangers — A Staged Reading,Familiar Strangers follows the journey of a community of people living homeless on the streets in and around Tompkins Square Park.,"$3,300.00 ","$3,350.00 ",successful,US,USD,1466567700,1464653696,FALSE,23,TRUE,theater/plays,102,145.65,theater,plays,5/31/2016,6/22/2016,2016
3261,Scrappy Shakespeare: A Midsummer Night's Dream,Six Spartanburg-based professional actors perform A Midsummer Night's Dream outdoors in downtown Spartanburg.,"$3,300.00 ","$3,315.00 ",successful,US,USD,1437067476,1434475476,TRUE,49,TRUE,theater/plays,100,67.65,theater,plays,6/16/2015,7/16/2015,2015
3560,Book Club: A Comedy,"The world premiere of an endearing play about love, friendship, men's styling putty, Dungeons & Dragons & our capacity for forbearance.","$3,200.00 ","$3,470.00 ",successful,CA,CAD,1432694700,1429651266,FALSE,74,TRUE,theater/plays,108,46.89,theater,plays,4/21/2015,5/27/2015,2015
3186,Honest,"Honest is an exciting and dark new play by Bristol based writer Alice Nicholas, touring the South of England and London this October.","$3,200.00 ","$3,270.00 ",successful,GB,GBP,1410901200,1408313438,TRUE,70,TRUE,theater/plays,102,46.71,theater,plays,8/17/2014,9/16/2014,2014
2971,"World Premiere of ""The Piano""","An Asian-Jewish-American family collides with music, food, and identity crises in this world premiere New York theater production.","$3,200.00 ","$3,205.00 ",successful,US,USD,1409500078,1406908078,FALSE,43,TRUE,theater/plays,100,74.53,theater,plays,8/1/2014,8/31/2014,2014
3223,Good People by David Lindsay-Abaire at Waterfront Playhouse,Bringing David Lindsay-Abaire's award-winning story of our times to the East Bay.,"$3,100.00 ","$3,395.00 ",successful,US,USD,1440100976,1437508976,TRUE,74,TRUE,theater/plays,110,45.88,theater,plays,7/21/2015,8/20/2015,2015
3153,Terminator the Second,"A stage production of Terminator 2: Judgment Day, composed entirely of the words of William Shakespeare","$3,000.00 ","$10,067.50 ",successful,US,USD,1304225940,1301542937,TRUE,241,TRUE,theater/plays,336,41.77,theater,plays,3/31/2011,5/1/2011,2011
3456,THIEF,"""Thief,"" a one man touring show, a theatrical experience portraying a supernatural story about the 3 days Jesus spent in the grave.","$3,000.00 ","$5,739.00 ",successful,US,USD,1406876340,1404190567,FALSE,16,TRUE,theater/plays,191,358.69,theater,plays,7/1/2014,8/1/2014,2014
3486,Might As Well Live: Dorothy Parker Does Hollywood Fringe,"Dorothy Parker's unforgettable characters come to life onstage in ""Might As Well Live"" at the 2015 Hollywood Fringe Festival.","$3,000.00 ","$4,656.00 ",successful,US,USD,1433314740,1430600401,FALSE,56,TRUE,theater/plays,155,83.14,theater,plays,5/2/2015,6/3/2015,2015
3827,BROKEN BISCUITS EDINBURGH,IAM TRYING TO TAKE MY DEBUT PLAY BROKEN BISCUITS TO EDINGBURGH FESTIVAL 2015 AND REALLY NEED SOME FUNDING TO HELP ME ACHIEVE THIS GOAL,"$3,000.00 ","$4,580.00 ",successful,GB,GBP,1427414400,1422656201,FALSE,65,TRUE,theater/plays,153,70.46,theater,plays,1/30/2015,3/27/2015,2015
1291,"Enso Theatre Ensemble's ""Pride & Prejudice""","Perception. Impulse. Love. The Enso Theatre Ensemble presents Jane Austen's ""Pride & Prejudice"" like you've never seen it before.","$3,000.00 ","$4,371.00 ",successful,US,USD,1428390000,1425224391,FALSE,42,TRUE,theater/plays,146,104.07,theater,plays,3/1/2015,4/7/2015,2015
2816,In My Head - A new mental health theatre project,Inspired by real life interviews 'In My Head' is a new play exploring the lives of those living with a mental health condition.,"$3,000.00 ","$4,247.00 ",successful,GB,GBP,1438531200,1435921992,FALSE,169,TRUE,theater/plays,142,25.13,theater,plays,7/3/2015,8/2/2015,2015
3682,"""Unexpectedly Expecting"" - A One-Woman Show","My one-woman show invites audiences to join me on my path to pregnancy as I share my neuroses, challenges and revelations.","$3,000.00 ","$4,176.00 ",successful,US,USD,1402901940,1399998418,FALSE,67,TRUE,theater/plays,139,62.33,theater,plays,5/13/2014,6/16/2014,2014
3482,Old Trunk - Edinburgh 2014,Critically-acclaimed new-writing company Old Trunk make their Edinburgh debut alternating their two darkly comic plays.,"$3,000.00 ","$4,150.00 ",successful,GB,GBP,1404671466,1402079466,FALSE,80,TRUE,theater/plays,138,51.88,theater,plays,6/6/2014,7/6/2014,2014
3340,King Lear,"The Eno River Players is a community theater in Durham, North Carolina. We are trying to raise money to get our second show on its feet","$3,000.00 ","$4,145.00 ",successful,US,USD,1481066554,1478906554,FALSE,38,TRUE,theater/plays,138,109.08,theater,plays,11/11/2016,12/6/2016,2016
3300,MAX & ELSA: NO MUSIC. NO CHILDREN.,A subversive parody about the two people for whom the hills were NOT alive with THE SOUND OF MUSIC.,"$3,000.00 ","$4,085.00 ",successful,US,USD,1430329862,1428515462,FALSE,88,TRUE,theater/plays,136,46.42,theater,plays,4/8/2015,4/29/2015,2015
1300,Before The Lights Go Up,What would you do with the time ticking and the pressure building to make a choice?! Find out what happens in this hilarious new play!!,"$3,000.00 ","$4,050.00 ",successful,US,USD,1464807420,1461427938,FALSE,24,TRUE,theater/plays,135,168.75,theater,plays,4/23/2016,6/1/2016,2016
3301,right left with heels: US Premiere at City Garage,"The US premiere of the controversial new Polish play the authorities don't want you to see, staged by an award-winning director.","$3,000.00 ","$4,004.00 ",successful,US,USD,1470034740,1466185176,FALSE,70,TRUE,theater/plays,133,57.2,theater,plays,6/17/2016,8/1/2016,2016
3606,Critical Ambition - BLINK by Phil Porter,"Support Swansea's youngest theatre company Critical Ambition, in their co-production of BLINK with Volcano and The Other Room.","$3,000.00 ","$3,908.00 ",successful,GB,GBP,1471185057,1468593057,FALSE,64,TRUE,theater/plays,130,61.06,theater,plays,7/15/2016,8/14/2016,2016
3210,"""The Red Herring"" World Premiere","The Red Herring is a new play full of wickedly fast dialogue, a joke for every sentence, and more puns than you can shake a stick at.","$3,000.00 ","$3,773.00 ",successful,US,USD,1338523140,1334442519,TRUE,60,TRUE,theater/plays,126,62.88,theater,plays,4/14/2012,6/1/2012,2012
3496,Resurrecting LIZZIE BORDEN LIVE,A one-woman play based on Lizzie Borden who was accused of the brutal hatchet murders of her father and step-mother.  Workshop Oct NYC.,"$3,000.00 ","$3,732.00 ",successful,US,USD,1473625166,1470169166,FALSE,78,TRUE,theater/plays,124,47.85,theater,plays,8/2/2016,9/11/2016,2016
3488,Gorilla Theater Productions Presents: Phase 3,GTP has been protected financially by The Director since 2012. Now it's time for the community. Do you want GTP? Are we worth it?,"$3,000.00 ","$3,636.00 ",successful,US,USD,1429286400,1427221560,FALSE,29,TRUE,theater/plays,121,125.38,theater,plays,3/24/2015,4/17/2015,2015
3689,Random Us,"A humorous, touching play about the joys and challenges of a married couple's tender, yet intense relationship ""Love is never random""","$3,000.00 ","$3,550.00 ",successful,US,USD,1434925500,1432410639,FALSE,62,TRUE,theater/plays,118,57.26,theater,plays,5/23/2015,6/21/2015,2015
3387,LIBERTY! EQUALITY! AND FIREWORKS!... A Civil Rights Play,Pollyanna just completed an extremely successful run of this new educational play and wants to tour to more under-served communities.,"$3,000.00 ","$3,506.00 ",successful,US,USD,1418581088,1415125088,FALSE,35,TRUE,theater/plays,117,100.17,theater,plays,11/4/2014,12/14/2014,2014
3299,"The Maid, in the Common Room, with the Fiancé: A Comedy",A quick-witted original comedy that follows a group of eccentric friends as they attend an engagement party gone terribly wrong!,"$3,000.00 ","$3,486.00 ",successful,US,USD,1444860063,1442268063,FALSE,63,TRUE,theater/plays,116,55.33,theater,plays,9/14/2015,10/14/2015,2015
3167,Destiny is Judd Nelson: a new play at FringeNYC,What is destiny? Explore it with us this August at FringeNYC.,"$3,000.00 ","$3,485.00 ",successful,US,USD,1406952781,1405743181,TRUE,55,TRUE,theater/plays,116,63.36,theater,plays,7/19/2014,8/2/2014,2014
3584,Pramkicker - Edinburgh and Beyond,"Critically-acclaimed Old Trunk are back with their new play. 
PRAMKICKER. 

Written by Sadie Hasler & directed by Sarah Mayhew.","$3,000.00 ","$3,465.00 ",successful,GB,GBP,1436772944,1434180944,FALSE,112,TRUE,theater/plays,116,30.94,theater,plays,6/13/2015,7/13/2015,2015
522,COMPASS PLAYERS,*** TO MAKE DONATIONS IN THE FUTURE                                   GO TO OUR WEBSITE: www.compassplayers.com ***,"$3,000.00 ","$3,440.00 ",successful,US,USD,1458518325,1456793925,FALSE,31,TRUE,theater/plays,115,110.97,theater,plays,3/1/2016,3/20/2016,2016
2977,Brava Theater and Cultural Odyssey present “BIRTHRIGHT?”,"In celebration of THE MEDEA PROJECT: THEATER FOR INCARCERATED WOMEN’S 25TH ANNIVERSARY Brava Theater  presents “BIRTHRIGHT?""","$3,000.00 ","$3,407.00 ",successful,US,USD,1427076840,1421960934,FALSE,30,TRUE,theater/plays,114,113.57,theater,plays,1/22/2015,3/23/2015,2015
3604,Suddenly Split & Swiping Over,“Suddenly Split & Swiping Over” is a sassy and heartfelt one-woman show about ending a longterm relationship and starting over.,"$3,000.00 ","$3,385.00 ",successful,US,USD,1461913140,1461370956,FALSE,69,TRUE,theater/plays,113,49.06,theater,plays,4/23/2016,4/29/2016,2016
3680,Loading Dock Theatre Presents: The Dudleys! A Family Game,In The Dudleys! family memories are brought to life as a malfunctioning 8-bit video game. Press Start.,"$3,000.00 ","$3,383.00 ",successful,US,USD,1475664834,1473850434,FALSE,34,TRUE,theater/plays,113,99.5,theater,plays,9/14/2016,10/5/2016,2016
2806,And Now: The World!,A one woman show about the challenges of being a feminist in a digital age. Touring 6 UK cities. Now with Stretch Goals!,"$3,000.00 ","$3,363.00 ",successful,GB,GBP,1438772400,1435645490,FALSE,76,TRUE,theater/plays,112,44.25,theater,plays,6/30/2015,8/5/2015,2015
3661,AENY's Production of An Invisible Piece of this World,"AENY-Spanish Artists in NY brings Juan Diego Botto's ""brilliant script"" (El País) for ""An Invisible Piece of this World"" to the stage.","$3,000.00 ","$3,330.00 ",successful,US,USD,1460260800,1458336672,FALSE,36,TRUE,theater/plays,111,92.5,theater,plays,3/18/2016,4/10/2016,2016
2831,Tackett & Pyke put on a Play,We each wrote a play and would like to produce them for you for nothing more than art's sake!,"$3,000.00 ","$3,320.00 ",successful,US,USD,1437076070,1434484070,FALSE,52,TRUE,theater/plays,111,63.85,theater,plays,6/16/2015,7/16/2015,2015
3593,"""Lucy & Vincente"" A New Play about Lucille Ball","A staged reading for ""Lucy & Vincente"" in NYC. A new play about Lucille Ball & Vincente Minnelli in Hollywood, 1953.","$3,000.00 ","$3,319.00 ",successful,US,USD,1420489560,1417469639,FALSE,43,TRUE,theater/plays,111,77.19,theater,plays,12/1/2014,1/5/2015,2014
3621,EverScape,Bare Theatre and Sonorous Road collaborate on the NC debut of  Allan Maule's gamer fantasy play that was extended in New York.,"$3,000.00 ","$3,292.00 ",successful,US,USD,1475269200,1473200844,FALSE,70,TRUE,theater/plays,110,47.03,theater,plays,9/6/2016,9/30/2016,2016
2980,INDEPENDENCE NYC,"1 director, 4 actors, and a whole lotta determination. Help us bring this brilliant story to the heart of NYC!","$3,000.00 ","$3,275.00 ",successful,US,USD,1440381600,1438639130,FALSE,24,TRUE,theater/plays,109,136.46,theater,plays,8/3/2015,8/24/2015,2015
3688,The Tulip Tree 2014,The Tulip Tree is a project I have been passionate about for 5 years. It is an unforgettable story that has never been told.,"$3,000.00 ","$3,275.00 ",successful,GB,GBP,1407524004,1404932004,FALSE,39,TRUE,theater/plays,109,83.97,theater,plays,7/9/2014,8/8/2014,2014
3702,SANKARA,"Shakespeare's ""Julius Caesar"" inspires the unforgettable story of the ""African Che Guevara"" Thomas Sankara, President of Burkina Faso.","$3,000.00 ","$3,275.00 ",successful,GB,GBP,1468191540,1464958484,FALSE,21,TRUE,theater/plays,109,155.95,theater,plays,6/3/2016,7/10/2016,2016
3422,The Secret Lives of Baba Segi's Wives; A Workshop Production,"Developing and presenting Rotimi Babatunde's stage adaptation of The Secret Lives of Baba Segi's Wives directed by Femi Elufowoju, jr","$3,000.00 ","$3,273.00 ",successful,GB,GBP,1450051200,1447594176,FALSE,46,TRUE,theater/plays,109,71.15,theater,plays,11/15/2015,12/14/2015,2015
3834,Better to Have Loved...?,About the impact of addiction on relationships; my play hopes to inspire & support those affected to connect with their own creativity,"$3,000.00 ","$3,271.00 ",successful,GB,GBP,1434624067,1432032067,FALSE,57,TRUE,theater/plays,109,57.39,theater,plays,5/19/2015,6/18/2015,2015
3410,the southland company - LAUNCH LOS ANGELES,Join us in a campaign benefitting the southland company and its interdisciplinary artistic efforts in Los Angeles.,"$3,000.00 ","$3,255.00 ",successful,US,USD,1465196400,1462841990,FALSE,40,TRUE,theater/plays,109,81.38,theater,plays,5/10/2016,6/6/2016,2016
3583,The Tragedy of Mario and Juliet,"Bumbling architect Romeo and handsome contractor Mario meet their match while building a balcony for Verona, NJ siren, Juliet.","$3,000.00 ","$3,255.00 ",successful,US,USD,1460970805,1455790405,FALSE,24,TRUE,theater/plays,109,135.63,theater,plays,2/18/2016,4/18/2016,2016
3509,"PL@Y, an all-original fusion of comedy, rock, and dance",PL@Y is an original comedic fantasy spectacle inspired by the original music of the Amboys and classic rabbit-hole fiction archetypes,"$3,000.00 ","$3,190.00 ",successful,US,USD,1416545700,1415392666,FALSE,33,TRUE,theater/plays,106,96.67,theater,plays,11/7/2014,11/21/2014,2014
3364,Cancel The Sunshine,"Cancel The Sunshine is a new play that explores living with a mental health condition in an honest, witty and articulate way.","$3,000.00 ","$3,178.00 ",successful,GB,GBP,1458075600,1456183649,FALSE,72,TRUE,theater/plays,106,44.14,theater,plays,2/22/2016,3/15/2016,2016
2790,"Help us get ""Old Friends"" to the El Portal!!!","We want to perform the one act play ""Old Friends"" at the El Portal Theatre in North Hollywood, CA.!!  Help us to get on the stage!!","$3,000.00 ","$3,160.00 ",successful,US,USD,1423693903,1421101903,FALSE,66,TRUE,theater/plays,105,47.88,theater,plays,1/12/2015,2/11/2015,2015
3624,"""The Next Event""","“The Event of a Lifetime…”

After the books stopped selling, and family disappears..the next event is closer than expected for him.","$3,000.00 ","$3,148.00 ",successful,US,USD,1471977290,1466793290,FALSE,39,TRUE,theater/plays,105,80.72,theater,plays,6/24/2016,8/23/2016,2016
3380,A Hard Rain - New York Debut,A Hard Rain is a new play that takes place on the eve of the Stonewall riots in the ‘hidden’ gay bars of 1969 Greenwich Village.,"$3,000.00 ","$3,133.00 ",successful,US,USD,1417305178,1414277578,FALSE,28,TRUE,theater/plays,104,111.89,theater,plays,10/25/2014,11/29/2014,2014
3414,PCSF PlayOffs 2016,"A new twist on our annual festival of fully-produced plays by member playwrights, performed by a talented ensemble cast!","$3,000.00 ","$3,105.00 ",successful,US,USD,1480579140,1478030325,FALSE,44,TRUE,theater/plays,104,70.57,theater,plays,11/1/2016,12/1/2016,2016
2825,The Night Before Christmas,Help Saltmine Theatre Company tell the exciting story of St Nicholas and the importance of gratefulness in their new Christmas show.,"$3,000.00 ","$3,100.00 ",successful,GB,GBP,1449255686,1446663686,FALSE,51,TRUE,theater/plays,103,60.78,theater,plays,11/4/2015,12/4/2015,2015
3667,"The Stolen Inches, Edinburgh 2015",A short man takes his tall family to court for stealing his height. Help Small Things Theatre take this big story to EdFringe 2015!,"$3,000.00 ","$3,095.11 ",successful,GB,GBP,1437261419,1434669419,FALSE,58,TRUE,theater/plays,103,53.36,theater,plays,6/18/2015,7/18/2015,2015
3573,Licensed To Ill,London based theatre makers collaborating to create a new show about the history of HipHop.,"$3,000.00 ","$3,084.00 ",successful,GB,GBP,1415440846,1412845246,FALSE,78,TRUE,theater/plays,103,39.54,theater,plays,10/9/2014,11/8/2014,2014
3515,Twelfth Night by William Shakespeare,We are casting an all-inclusive production of Shakespeare's Twelfth Night in a non-traditional performance space.,"$3,000.00 ","$3,080.00 ",successful,US,USD,1433097171,1430505171,FALSE,46,TRUE,theater/plays,103,66.96,theater,plays,5/1/2015,5/31/2015,2015
3625,Village Pub Theatre- FRINGE 2015,"Help us run Leith’s acclaimed, year round pub theatre VPT as part of Edinburgh Fringe 2015. Presenting 72 short plays over two weeks.","$3,000.00 ","$3,080.00 ",successful,GB,GBP,1435851577,1433259577,FALSE,78,TRUE,theater/plays,103,39.49,theater,plays,6/2/2015,7/2/2015,2015
3659,Reality of Love Remix (Love in Disguise),We want you to analyze while we dramatize if people who romanticize can recognize true love in a disguise.,"$3,000.00 ","$3,061.00 ",successful,US,USD,1426775940,1424414350,FALSE,13,TRUE,theater/plays,102,235.46,theater,plays,2/20/2015,3/19/2015,2015
3354,Strangeloop Theatre - A Focus on New Works,Help Strangeloop Theatre create and support new work by sponsoring our 2015-2016 season.,"$3,000.00 ","$3,058.00 ",successful,US,USD,1446091260,1443029206,FALSE,55,TRUE,theater/plays,102,55.6,theater,plays,9/23/2015,10/29/2015,2015
2802,The Eulogy of Toby Peach - Edinburgh Festival 2015,"An honest & inspiring journey with cancer, discovery of self-mortality & celebration of life. Winner of IdeasTap Underbelly Award 2015.","$3,000.00 ","$3,055.00 ",successful,GB,GBP,1438875107,1436283107,FALSE,90,TRUE,theater/plays,102,33.94,theater,plays,7/7/2015,8/6/2015,2015
3284,Help fund Black Enough!,Black Enough is an LSU student-staged performance exploring the effects of white supremacy on the black community.,"$3,000.00 ","$3,048.00 ",successful,US,USD,1454047140,1452546853,FALSE,15,TRUE,theater/plays,102,203.2,theater,plays,1/11/2016,1/29/2016,2016
3672,The Bombing of the Grand Hotel. A compelling new play,"1984. An IRA bomb explodes at the Grand Hotel. Years on, the bomber and a victim's daughter meet. The meeting changes both their lives.","$3,000.00 ","$3,046.00 ",successful,GB,GBP,1411771384,1409179384,FALSE,57,TRUE,theater/plays,102,53.44,theater,plays,8/27/2014,9/26/2014,2014
3506,"""The Secret"" Goes to NYC International Fringe Festival",The Secret is a historical drama about a lawyer who worked for the Spanish Inquisition & crossed the Atlantic with Menendez in 1565.,"$3,000.00 ","$3,045.00 ",successful,US,USD,1408815440,1404927440,FALSE,29,TRUE,theater/plays,102,105,theater,plays,7/9/2014,8/23/2014,2014
2789,The Adventurers Club,BNT's Biggest Adventure So Far: Our 2015 full length production!,"$3,000.00 ","$3,035.00 ",successful,US,USD,1426132800,1424477934,FALSE,24,TRUE,theater/plays,101,126.46,theater,plays,2/21/2015,3/12/2015,2015
3174,A Race Redux,"This adaptation uses the text of O’Neill to explore race, and asks the audience if stereotypes impact a characters guilt or innocence.","$3,000.00 ","$3,034.00 ",successful,US,USD,1408999508,1407789908,TRUE,23,TRUE,theater/plays,101,131.91,theater,plays,8/11/2014,8/25/2014,2014
3437,Alzheimer's:The Musical World Premiere Tickets & FUNdrasier!,Join people who stutter as they come together to support Stuttering & Alzheimer's organizations. Everyone's voice is heard right now!!,"$3,000.00 ","$3,030.00 ",successful,US,USD,1440003820,1437411820,FALSE,36,TRUE,theater/plays,101,84.17,theater,plays,7/20/2015,8/19/2015,2015
3467,"Venus in Fur, Los Angeles.","Venus in Fur, By David Ives.","$3,000.00 ","$3,030.00 ",successful,US,USD,1426864032,1424275632,FALSE,47,TRUE,theater/plays,101,64.47,theater,plays,2/18/2015,3/20/2015,2015
3240,Princess Suffragette: a new play for VAULT Festival 2017,"An inventive (re)telling of Princess Sophia Duleep Singh’s journey, from an aristocratic upbringing to a life of political activism.","$3,000.00 ","$3,017.00 ",successful,GB,GBP,1487286000,1484843948,FALSE,34,TRUE,theater/plays,101,88.74,theater,plays,1/19/2017,2/16/2017,2017
2830,Nakhtik and Avalon,Avalon is a new South African Township play and Nakhtik is a  danced political lecture.,"$3,000.00 ","$3,000.00 ",successful,US,USD,1399867140,1398802148,FALSE,11,TRUE,theater/plays,100,272.73,theater,plays,4/29/2014,5/12/2014,2014
3375,The Frida Kahlo of Penge West,"Production of wickedly funny new play for two women, written by iconic songwriter and ex-London's Burning man, Chris Larner","$3,000.00 ","$3,000.00 ",successful,GB,GBP,1400423973,1399387173,FALSE,17,TRUE,theater/plays,100,176.47,theater,plays,5/6/2014,5/18/2014,2014
3412,Joe Orton's Fred & Madge,"Rough Haired Pointer present for the first time ever Joe Orton's 'Fred & Madge' at the Hope Theatre, Islington this Sept and Oct","$3,000.00 ","$3,000.00 ",successful,GB,GBP,1411858862,1409266862,FALSE,26,TRUE,theater/plays,100,115.38,theater,plays,8/28/2014,9/27/2014,2014
3401,This is why we Live ... (Astonishment),"Support a daring new theatre creation               
Supportez une audacieuse compagnie internationale et aidez-les à créer leur pièce","$2,900.00 ","$2,954.00 ",successful,GB,GBP,1438968146,1436376146,FALSE,66,TRUE,theater/plays,102,44.76,theater,plays,7/8/2015,8/7/2015,2015
3705,Pennywinkle: A New Chicago Comedy,The play satirizes the Chicago improvisation scene exposing the rules of the craft and the eccentricities of its participants,"$2,827.00 ","$2,925.00 ",successful,US,USD,1403546400,1401714114,FALSE,35,TRUE,theater/plays,103,83.57,theater,plays,6/2/2014,6/23/2014,2014
2813,"Hi, Are You Single? by Ryan J. Haddad",Ryan has a higher sex drive than you. He also has cerebral palsy. Join him for his hilarious and poignant new solo show!,"$2,800.00 ","$3,572.12 ",successful,US,USD,1481737761,1479577761,FALSE,96,TRUE,theater/plays,128,37.21,theater,plays,11/19/2016,12/14/2016,2016
3513,Send Truth AND Consequences To TNT's 2014 Youth Conference,"Brazos Valley TROUPE is taking an original work, Truth AND Consequences, to the Texas Nonprofit Theaters 2014 Youth Conference","$2,800.00 ","$3,315.00 ",successful,US,USD,1401857940,1400725112,FALSE,44,TRUE,theater/plays,118,75.34,theater,plays,5/22/2014,6/4/2014,2014
3469,An Evening of Original One Acts,"Original plays written, performed, and produced by young and diverse theater artists - alumni from Hostos Lincoln Academy in the Bronx.","$2,800.00 ","$3,175.00 ",successful,US,USD,1461857045,1459265045,FALSE,63,TRUE,theater/plays,113,50.4,theater,plays,3/29/2016,4/28/2016,2016
3238,All Bare Theatre bring THE MAIDS to Edinburgh 2015,"A bit of role-play never hurt anyone, right? Two maids play a game of murder. Genet's THE MAIDS in a visceral production by ALL BARE.","$2,800.00 ","$3,145.00 ",successful,GB,GBP,1435752898,1433160898,TRUE,79,TRUE,theater/plays,112,39.81,theater,plays,6/1/2015,7/1/2015,2015
3419,HAMLET presented by AC Productions,"As part of the 400th anniversary of Shakespeare’s death, AC Productions will present a new production of Hamlet adapted by Peter Reid","$2,750.00 ","$2,930.00 ",successful,IE,EUR,1459978200,1458416585,FALSE,46,TRUE,theater/plays,107,63.7,theater,plays,3/19/2016,4/6/2016,2016
3530,Far From Fiction,"“Far From Fiction” is a powerful play, written by Sally Willis, offering insights into a new understanding of  female psychology.","$2,750.00 ","$2,750.00 ",successful,GB,GBP,1460318400,1457881057,FALSE,22,TRUE,theater/plays,100,125,theater,plays,3/13/2016,4/10/2016,2016
3265,"""Where was I"" - an autobiographical play on Dementia",A theatrical play on Alzheimer’s and the challenges of loving a person who keeps disappearing.,"$2,700.00 ","$4,428.00 ",successful,IE,EUR,1449162000,1446570315,TRUE,63,TRUE,theater/plays,164,70.29,theater,plays,11/3/2015,12/3/2015,2015
2833,Star Man Rocket Man,A new play about exploring outer space,"$2,700.00 ","$2,923.00 ",successful,US,USD,1444528800,1442804633,FALSE,35,TRUE,theater/plays,108,83.51,theater,plays,9/21/2015,10/11/2015,2015
3595,The Flu Season,A new theatre company staging Will Eno's The Flu Season in Seattle,"$2,600.00 ","$3,081.00 ",successful,US,USD,1426229940,1423959123,FALSE,62,TRUE,theater/plays,119,49.69,theater,plays,2/15/2015,3/13/2015,2015
3230,#CLOUD$ - a modern adaptation of Aristophanes' Clouds,"Recently under fire for its cheeky and contextual revisiting of an ancient comedy, this show has lost funding and needs your support!","$2,600.00 ","$2,857.00 ",successful,US,USD,1412135940,1410840126,TRUE,37,TRUE,theater/plays,110,77.22,theater,plays,9/16/2014,10/1/2014,2014
3611,Xavier Project: Leftovers,"How do you retain a sense identity after losing your home, your family and your country? Leftovers is a play about refugees in Nairobi.","$2,500.00 ","$3,400.00 ",successful,GB,GBP,1428483201,1425891201,FALSE,51,TRUE,theater/plays,136,66.67,theater,plays,3/9/2015,4/8/2015,2015
3222,Shakespeare in ASL - and FREE for everyone,Shakespeare's classic re-imagined as a spoken and signed production for deaf and hearing audiences,"$2,500.00 ","$3,120.00 ",successful,US,USD,1445722140,1443016697,TRUE,84,TRUE,theater/plays,125,37.14,theater,plays,9/23/2015,10/24/2015,2015
